1F469 200D 1F466 200D 1F466; 👩‍👦‍👦 family
1F469 200D 1F467; 👩‍👧 family
1F469 200D 1F467 200D 1F466; 👩‍👧‍👦 family
1F469 200D 1F467 200D 1F467; 👩‍👧‍👧 family
@
1F4AA; 💪 flexed biceps
1F4AA $; 💪🏻 flexed biceps
1F933; 🤳 selfie
1F933 $; 🤳🏻 selfie
1F448; 👈 backhand index pointing left
1F448 $; 👈🏻 backhand index pointing left
1F449; 👉 backhand index pointing right
1F449 $; 👉🏻 backhand index pointing right
261D; ☝ index pointing up
261D $; ☝🏻 index pointing up
1F446; 👆 backhand index pointing up
1F446 $; 👆🏻 backhand index pointing up
1F595; 🖕 middle finger
1F595 $; 🖕🏻 middle finger
1F447; 👇 backhand index pointing down
1F447 $; 👇🏻 backhand index pointing down
270C; ✌ victory hand
270C $; ✌🏻 victory hand
1F91E; 🤞 crossed fingers
1F91E $; 🤞🏻 crossed fingers
1F596; 🖖 vulcan salute
1F596 $; 🖖🏻 vulcan salute
1F918; 🤘 sign of the horns
1F918 $; 🤘🏻 sign of the horns
1F919; 🤙 call me hand
1F919 $; 🤙🏻 call me hand
1F590; 🖐 raised hand with fingers splayed
1F590 $; 🖐🏻 raised hand with fingers splayed
270B; ✋ raised hand
270B $; ✋🏻 raised hand
1F44C; 👌 OK hand
1F44C $; 👌🏻 OK hand
1F44D; 👍 thumbs up
1F44D $; 👍🏻 thumbs up
1F44E; 👎 thumbs down
1F44E $; 👎🏻 thumbs down
270A; ✊ raised fist
270A $; ✊🏻 raised fist
1F44A; 👊 oncoming fist
1F44A $; 👊🏻 oncoming fist
1F91B; 🤛 left-facing fist
1F91B $; 🤛🏻 left-facing fist
1F91C; 🤜 right-facing fist
1F91C $; 🤜🏻 right-facing fist
1F91A; 🤚 raised back of hand
1F91A $; 🤚🏻 raised back of hand
1F44B; 👋 waving hand
1F44B $; 👋🏻 waving hand
1F44F; 👏 clapping hands
1F44F $; 👏🏻 clapping hands
270D; ✍ writing hand
270D $; ✍🏻 writing hand
1F450; 👐 open hands
1F450 $; 👐🏻 open hands
1F64C; 🙌 raising hands
1F64C $; 🙌🏻 raising hands
1F64F; 🙏 folded hands
1F64F $; 🙏🏻 folded hands
1F485; 💅 nail polish
1F485 $; 💅🏻 nail polish
1F442; 👂 ear
1F442 $; 👂🏻 ear
1F443; 👃 nose
1F443 $; 👃🏻 nose
1F91D; 🤝 handshake !! moved
1F463; 👣 footprints
1F440; 👀 eyes
1F441; 👁 eye
1F441 FE0F 200D 1F5E8 FE0F; 👁️‍🗨️ eye in speech bubble
1F445; 👅 tongue
1F444; 👄 mouth
1F48B; 💋 kiss mark
1F498; 💘 heart with arrow
2764; ❤ red heart
1F493; 💓 beating heart
1F494; 💔 broken heart
1F495; 💕 two hearts
1F496; 💖 sparkling heart
1F497; 💗 growing heart
1F499; 💙 blue heart
1F49A; 💚 green heart
1F49B; 💛 yellow heart
1F49C; 💜 purple heart
1F5A4; 🖤 black heart
1F49D; 💝 heart with ribbon
1F49E; 💞 revolving hearts
1F49F; 💟 heart decoration
2763; ❣ heavy heart exclamation
1F48C; 💌 love letter
1F4A4; 💤 zzz
1F4A2; 💢 anger symbol
1F4A3; 💣 bomb
1F4A5; 💥 collision
1F4A6; 💦 sweat droplets
1F4A8; 💨 dashing away
1F4AB; 💫 dizzy
1F4AC; 💬 speech balloon
1F5E8; 🗨 left speech bubble
1F5EF; 🗯 right anger bubble
1F4AD; 💭 thought balloon
1F573; 🕳 hole
1F453; 👓 glasses
1F576; 🕶 sunglasses
1F454; 👔 necktie
1F455; 👕 t-shirt
1F456; 👖 jeans
1F457; 👗 dress
1F458; 👘 kimono
1F459; 👙 bikini
1F45A; 👚 woman’s clothes
1F45B; 👛 purse
1F45C; 👜 handbag
1F45D; 👝 clutch bag
1F6CD; 🛍 shopping bags
1F392; 🎒 school backpack
1F45E; 👞 man’s shoe
1F45F; 👟 running shoe
1F460; 👠 high-heeled shoe
1F461; 👡 woman’s sandal
1F462; 👢 woman’s boot
1F451; 👑 crown
1F452; 👒 woman’s hat
1F3A9; 🎩 top hat
1F393; 🎓 graduation cap
26D1; ⛑ rescue worker’s helmet
1F4FF; 📿 prayer beads
1F484; 💄 lipstick
1F48D; 💍 ring
1F48E; 💎 gem stone
@2 no more skin tones beyond this point
1F435; 🐵 monkey face
1F412; 🐒 monkey
1F98D; 🦍 gorilla
1F436; 🐶 dog face
1F415; 🐕 dog
1F429; 🐩 poodle
1F43A; 🐺 wolf face
1F98A; 🦊 fox face
1F431; 🐱 cat face
1F408; 🐈 cat
1F981; 🦁 lion face
1F42F; 🐯 tiger face
1F405; 🐅 tiger
1F406; 🐆 leopard
1F434; 🐴 horse face
1F40E; 🐎 horse
1F98C; 🦌 deer
1F984; 🦄 unicorn face
1F42E; 🐮 cow face
1F402; 🐂 ox
1F403; 🐃 water buffalo
1F404; 🐄 cow
1F437; 🐷 pig face
1F416; 🐖 pig
1F417; 🐗 boar
1F43D; 🐽 pig nose
1F40F; 🐏 ram
1F411; 🐑 ewe
1F410; 🐐 goat
1F42A; 🐪 camel
1F42B; 🐫 two-hump camel
1F418; 🐘 elephant
1F98F; 🦏 rhinoceros
1F42D; 🐭 mouse face
1F401; 🐁 mouse
1F400; 🐀 rat
1F439; 🐹 hamster face
1F430; 🐰 rabbit face
1F407; 🐇 rabbit
1F43F; 🐿 chipmunk
1F987; 🦇 bat
1F43B; 🐻 bear face
1F428; 🐨 koala
1F43C; 🐼 panda face
1F43E; 🐾 paw prints
1F983; 🦃 turkey
1F414; 🐔 chicken
1F413; 🐓 rooster
1F423; 🐣 hatching chick
1F424; 🐤 baby chick
1F425; 🐥 front-facing baby chick
1F426; 🐦 bird
1F427; 🐧 penguin
1F54A; 🕊 dove
1F985; 🦅 eagle
1F986; 🦆 duck
1F989; 🦉 owl
1F438; 🐸 frog face
1F40A; 🐊 crocodile
1F422; 🐢 turtle
1F98E; 🦎 lizard
1F40D; 🐍 snake
1F432; 🐲 dragon face
1F409; 🐉 dragon
1F433; 🐳 spouting whale
1F40B; 🐋 whale
1F42C; 🐬 dolphin
1F41F; 🐟 fish
1F420; 🐠 tropical fish
1F421; 🐡 blowfish
1F988; 🦈 shark
1F419; 🐙 octopus
1F41A; 🐚 spiral shell
1F980; 🦀 crab
1F990; 🦐 shrimp
1F991; 🦑 squid
1F98B; 🦋 butterfly
1F40C; 🐌 snail
1F41B; 🐛 bug
1F41C; 🐜 ant
1F41D; 🐝 honeybee
1F41E; 🐞 lady beetle
1F577; 🕷 spider
1F578; 🕸 spider web
1F982; 🦂 scorpion
@
1F490; 💐 bouquet
1F338; 🌸 cherry blossom
1F4AE; 💮 white flower
1F3F5; 🏵 rosette
1F339; 🌹 rose
1F940; 🥀 wilted flower
1F33A; 🌺 hibiscus
1F33B; 🌻 sunflower
1F33C; 🌼 blossom
1F337; 🌷 tulip
1F331; 🌱 seedling
1F332; 🌲 evergreen tree
1F333; 🌳 deciduous tree
1F334; 🌴 palm tree
1F335; 🌵 cactus
1F33E; 🌾 sheaf of rice
1F33F; 🌿 herb
2618; ☘ shamrock
1F340; 🍀 four leaf clover
1F341; 🍁 maple leaf
1F342; 🍂 fallen leaf
1F343; 🍃 leaf fluttering in wind
1F347; 🍇 grapes
@
1F348; 🍈 melon
1F349; 🍉 watermelon
1F34A; 🍊 tangerine
1F34B; 🍋 lemon
1F34C; 🍌 banana
1F34D; 🍍 pineapple
1F34E; 🍎 red apple
1F34F; 🍏 green apple
1F350; 🍐 pear
1F351; 🍑 peach
1F352; 🍒 cherries
1F353; 🍓 strawberry
1F95D; 🥝 kiwi fruit
1F345; 🍅 tomato
1F951; 🥑 avocado
1F346; 🍆 eggplant
1F954; 🥔 potato
1F955; 🥕 carrot
1F33D; 🌽 ear of corn
1F336; 🌶 hot pepper
1F952; 🥒 cucumber
1F344; 🍄 mushroom
1F95C; 🥜 peanuts
